Control ID,Control Title,Implementation Status,Evidence Description,Last Reviewed
A.5.1,Policies for information security,Implemented,"Organization maintains comprehensive information security policies approved by senior management. Policies cover access control, cryptography, physical security, operations security, communications security, and supplier relationships. All policies reviewed annually by the Information Security Committee. Policy changes require CISO approval. Employees acknowledge policies via HR onboarding system. Last full review completed January 2026.",2026-01-15
A.5.2,Information security roles and responsibilities,Implemented,"All information security roles and responsibilities are defined and allocated. Clear governance structure includes CISO, Information Security Manager, Data Protection Officer, IT Security Analysts, and departmental Security Champions. RACI matrix maintained for all security activities. CISO accountable for overall strategy. IT Security Analysts responsible for day-to-day monitoring and incident response.",2026-02-01
A.5.13,Labelling of information,Implemented,"Procedures for information labelling developed and implemented. Information classified as Public, Internal, Confidential, or Strictly Confidential. All documents carry classification labels. Electronic files use metadata tagging for automated classification. Email classification enforced through DLP policies. Quarterly audits verify correct labelling across departments.",2026-03-01
A.5.24,Information security incident management,Implemented,"Established incident management process with defined roles and procedures for detection, reporting, assessment, response, and learning. 24/7 SOC monitoring with 15-minute response SLA for critical incidents. Incident classification: P1 Critical, P2 High, P3 Medium, P4 Low. Post-incident review within 5 business days. Tabletop exercises conducted quarterly. Last exercise February 2026.",2026-02-15
A.5.29,ICT readiness for business continuity,Implemented,"ICT readiness planned, implemented, maintained and tested. RPO 1 hour for critical systems. RTO 4 hours for critical systems. Multi-region cloud infrastructure with automatic failover. Database backups every 6 hours with cross-region replication. Full DR test conducted annually. Last test November 2025 with successful failover in 3.2 hours.",2025-11-20
A.8.1,User endpoint devices,Implemented,"All endpoint devices protected via MDM enrollment. Full disk encryption (BitLocker/FileVault) mandatory. EDR with CrowdStrike deployed on all endpoints. Automatic OS and application patching within 14 days. USB port restrictions enforced via Group Policy. Monthly compliance scans verify 98.7% endpoint compliance rate.",2026-03-01
A.8.5,Secure authentication,Implemented,"Multi-factor authentication enforced for all user accounts. MFA required for VPN, email, cloud services, and admin access. Password policy minimum 14 characters with complexity requirements. Privileged accounts use FIDO2/YubiKey hardware security keys. Failed login lockout after 5 attempts. SSO via Azure AD for 95% of applications.",2026-02-28
A.8.9,Configuration management,Implemented,"All configurations documented, monitored, and reviewed. Production servers provisioned via Terraform with version-controlled configs. CIS Benchmark Level 2 applied to all servers. Configuration drift detection daily via Chef InSpec. Change management board approves all changes. Firewall rules reviewed quarterly. Last review February 2026.",2026-02-20
A.8.15,Logging,Implemented,"Centralized SIEM (Splunk) collects logs from all critical systems. Log retention 12 months online, 7 years archived. Real-time alerting for critical security events including unauthorized access and privilege escalation. Log integrity protected via SHA-256 tamper-evident hashing. Monthly log review reports generated for management.",2026-03-05
A.8.24,Use of cryptography,Implemented,"Data at rest encrypted with AES-256 for all databases and file storage. Data in transit uses TLS 1.3 for all communications. Key management via AWS KMS with automated rotation every 90 days. Certificate management automated with 60-day rotation. Annual cryptographic review ensures algorithms meet current standards.",2026-01-30
